query_id,CL99XT,Dm8TFidf,GE8ATDN2,INQ601,Mer8Adtd2,acsys8alo,acsys8alo2,apl8c621,apl8ctd,att99atde,fub99a,ibms99b,nttd8ale,ok8asxc,pir9Attd,Overall
401,0.172,0.054,0.131,0.092,0.068,0.158,0.12,0.134,0.045,0.076,0.015,0.039,0.023,0.065,0.045,0.08246666666666665
402,0.064,0.065,0.07,0.052,0.066,0.068,0.067,0.076,0.076,0.071,0.068,0.062,0.072,0.065,0.065,0.06713333333333332
403,0.021,0.021,0.021,0.021,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.020933333333333335
404,0.112,0.105,0.125,0.116,0.116,0.124,0.108,0.125,0.125,0.126,0.127,0.123,0.124,0.124,0.126,0.12040000000000001
405,0.035,0.021,0.036,0.01,0.024,0.032,0.023,0.035,0.036,0.032,0.036,0.032,0.03,0.013,0.035,0.02866666666666667
406,0.013,0.008,0.007,0.013,0.013,0.013,0.012,0.013,0.013,0.013,0.013,0.013,0.01,0.013,0.013,0.012000000000000002
407,0.066,0.038,0.054,0.046,0.04,0.055,0.044,0.066,0.067,0.063,0.048,0.054,0.06,0.063,0.057,0.054733333333333335
408,0.092,0.065,0.078,0.063,0.087,0.078,0.077,0.085,0.087,0.081,0.08,0.069,0.076,0.067,0.092,0.07846666666666667
409,0.022,0.018,0.022,0.015,0.021,0.02,0.02,0.022,0.022,0.022,0.021,0.018,0.022,0.019,0.022,0.020399999999999998
410,0.061,0.046,0.064,0.063,0.061,0.065,0.063,0.065,0.065,0.065,0.065,0.064,0.064,0.063,0.065,0.06259999999999999
411,0.02,0.016,0.019,0.017,0.019,0.016,0.017,0.024,0.022,0.021,0.014,0.02,0.02,0.021,0.022,0.019200000000000002
412,0.088,0.011,0.091,0.083,0.064,0.089,0.077,0.066,0.066,0.105,0.097,0.096,0.073,0.098,0.098,0.08013333333333335
413,0.058,0.045,0.06,0.041,0.05,0.06,0.057,0.065,0.054,0.05,0.053,0.059,0.061,0.034,0.055,0.053466666666666676
414,0.037,0.03,0.035,0.035,0.033,0.034,0.035,0.037,0.036,0.036,0.037,0.034,0.037,0.038,0.038,0.03546666666666666
415,0.093,0.093,0.13,0.071,0.087,0.094,0.074,0.134,0.13,0.134,0.119,0.128,0.089,0.131,0.133,0.10933333333333332
416,0.042,0.021,0.039,0.036,0.037,0.039,0.039,0.042,0.042,0.039,0.038,0.042,0.039,0.04,0.041,0.0384
417,0.062,0.006,0.041,0.031,0.064,0.063,0.055,0.055,0.057,0.013,0.062,0.061,0.061,0.066,0.046,0.04953333333333334
418,0.111,0.013,0.114,0.084,0.109,0.105,0.114,0.116,0.116,0.116,0.111,0.096,0.113,0.115,0.116,0.10326666666666667
419,0.016,0.012,0.01,0.009,0.008,0.014,0.013,0.012,0.013,0.01,0.012,0.014,0.012,0.011,0.013,0.011933333333333336
420,0.032,0.016,0.028,0.029,0.028,0.03,0.03,0.032,0.032,0.03,0.03,0.032,0.03,0.032,0.032,0.029533333333333345
421,0.046,0.017,0.038,0.046,0.046,0.036,0.032,0.038,0.055,0.057,0.034,0.048,0.048,0.053,0.056,0.043333333333333335
422,0.084,0.018,0.1,0.111,0.099,0.102,0.098,0.115,0.081,0.109,0.112,0.113,0.116,0.108,0.119,0.099
423,0.019,0.02,0.018,0.019,0.02,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.021,0.02,0.021,0.0202
424,0.088,0.073,0.105,0.123,0.126,0.114,0.114,0.123,0.11,0.129,0.103,0.124,0.127,0.105,0.117,0.11206666666666666
425,0.143,0.079,0.13,0.13,0.134,0.137,0.136,0.151,0.144,0.141,0.137,0.138,0.136,0.136,0.142,0.13426666666666667
426,0.181,0.012,0.086,0.023,0.057,0.08,0.065,0.083,0.055,0.068,0.134,0.055,0.058,0.038,0.125,0.07466666666666667
427,0.021,0.036,0.044,0.028,0.037,0.043,0.042,0.047,0.044,0.044,0.045,0.045,0.045,0.046,0.045,0.040799999999999996
428,0.112,0.042,0.066,0.099,0.073,0.094,0.084,0.105,0.111,0.107,0.096,0.106,0.083,0.093,0.11,0.09206666666666667
429,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.009,0.011,0.011,0.011,0.010866666666666667
430,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006000000000000001
431,0.086,0.052,0.077,0.053,0.107,0.114,0.114,0.127,0.126,0.121,0.092,0.085,0.114,0.109,0.13,0.10046666666666668
432,0.01,0.0,0.008,0.003,0.007,0.012,0.006,0.004,0.002,0.011,0.01,0.01,0.007,0.003,0.007,0.006666666666666667
433,0.01,0.005,0.003,0.001,0.006,0.005,0.005,0.012,0.011,0.011,0.0,0.002,0.009,0.005,0.001,0.0057333333333333325
434,0.276,0.149,0.247,0.239,0.25,0.265,0.268,0.256,0.23,0.281,0.275,0.252,0.263,0.247,0.271,0.2512666666666667
435,0.112,0.019,0.065,0.097,0.054,0.073,0.062,0.081,0.088,0.079,0.071,0.104,0.08,0.086,0.101,0.07813333333333333
436,0.082,0.04,0.051,0.04,0.028,0.065,0.056,0.073,0.065,0.078,0.068,0.058,0.067,0.063,0.077,0.06073333333333332
437,0.036,0.037,0.041,0.03,0.045,0.039,0.034,0.027,0.03,0.037,0.027,0.031,0.042,0.042,0.032,0.035333333333333335
438,0.13,0.035,0.112,0.127,0.125,0.125,0.121,0.103,0.109,0.116,0.123,0.127,0.116,0.126,0.129,0.11493333333333335
439,0.112,0.091,0.116,0.078,0.072,0.11,0.101,0.03,0.031,0.035,0.107,0.101,0.097,0.057,0.043,0.07873333333333334
440,0.054,0.013,0.016,0.031,0.025,0.031,0.028,0.048,0.048,0.05,0.039,0.048,0.028,0.044,0.038,0.03606666666666667
441,0.017,0.014,0.012,0.017,0.016,0.016,0.016,0.017,0.017,0.017,0.014,0.017,0.016,0.017,0.017,0.016000000000000007
442,0.051,0.002,0.007,0.028,0.017,0.023,0.024,0.033,0.035,0.028,0.022,0.029,0.012,0.028,0.034,0.024866666666666672
443,0.04,0.045,0.066,0.062,0.062,0.069,0.064,0.04,0.043,0.063,0.073,0.055,0.065,0.054,0.066,0.05780000000000001
444,0.017,0.013,0.016,0.016,0.015,0.015,0.015,0.016,0.016,0.015,0.015,0.017,0.017,0.017,0.017,0.015800000000000005
445,0.058,0.03,0.041,0.04,0.021,0.049,0.042,0.051,0.058,0.06,0.049,0.058,0.035,0.057,0.059,0.0472
