query_id,CL99XT,Dm8TFidf,GE8ATDN2,INQ601,Mer8Adtd2,acsys8alo,acsys8alo2,apl8c621,apl8ctd,att99atde,fub99a,ibms99b,nttd8ale,ok8asxc,pir9Attd,Overall
401,0.3,0.1,0.8,0.1,0.2,0.8,0.6,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.26
402,0.7,0.6,0.8,0.3,0.6,0.9,0.8,0.9,0.8,0.8,0.7,0.2,0.7,0.7,0.3,0.6533333333333332
403,0.4,1.0,1.0,0.8,0.7,1.0,1.0,0.9,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9133333333333334
404,0.6,0.5,0.5,0.2,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.2,0.2,0.3,0.5,0.38666666666666666
405,0.6,0.4,0.5,0.1,0.3,0.5,0.2,0.6,0.6,0.3,0.5,0.4,0.4,0.4,0.5,0.4200000000000001
406,0.6,0.2,0.3,0.3,0.4,0.6,0.4,0.6,0.6,0.6,0.5,0.5,0.4,0.6,0.5,0.47333333333333333
407,0.9,0.4,0.9,0.7,0.8,0.7,0.2,0.9,0.8,0.9,0.9,0.8,0.8,0.8,0.7,0.7466666666666668
408,0.8,0.5,0.3,0.2,0.4,0.0,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.34
409,0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.5,0.3,0.2,0.3,0.1,0.2,0.3266666666666666
410,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
411,0.8,0.4,0.7,0.5,0.5,0.6,0.5,0.9,0.3,0.6,0.6,0.4,0.7,0.7,0.6,0.5866666666666666
412,0.9,0.0,1.0,0.6,0.7,1.0,0.8,0.0,0.1,0.9,0.5,0.6,0.6,0.8,0.9,0.6266666666666667
413,0.7,0.7,0.8,0.0,0.2,0.7,0.5,0.7,0.2,1.0,0.8,0.0,0.6,0.0,0.2,0.4733333333333334
414,0.6,0.3,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.5,0.4,0.4,0.3,0.4,0.3,0.38666666666666666
415,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.9733333333333334
416,0.8,0.4,0.5,0.3,0.3,0.3,0.4,0.4,0.2,0.3,0.5,0.5,0.7,0.3,0.3,0.4133333333333333
417,1.0,0.0,0.8,0.3,0.8,0.5,0.6,0.5,0.5,0.0,0.7,0.7,0.5,0.9,0.5,0.5533333333333333
418,0.8,0.3,0.6,0.6,0.6,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.6,0.6733333333333333
419,0.6,0.2,0.3,0.2,0.1,0.2,0.1,0.3,0.3,0.3,0.6,0.5,0.4,0.1,0.1,0.28666666666666657
420,0.6,0.1,0.5,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.6,1.0,0.9,0.7333333333333333
421,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.2,0.3,0.1,0.11333333333333336
422,1.0,0.1,0.7,0.9,0.7,0.7,0.6,0.3,0.0,0.3,1.0,0.8,0.7,0.8,1.0,0.64
423,0.8,0.8,0.7,0.9,0.7,0.9,0.9,0.9,0.9,0.9,0.7,0.9,0.9,0.9,0.8,0.8400000000000001
424,1.0,0.7,0.6,0.0,0.4,0.6,0.4,0.5,0.3,0.7,0.6,0.3,0.5,0.1,0.3,0.46666666666666656
