query_id,CL99XT,Dm8TFidf,GE8ATDN2,INQ601,Mer8Adtd2,acsys8alo,acsys8alo2,apl8c621,apl8ctd,att99atde,fub99a,ibms99b,nttd8ale,ok8asxc,pir9Attd,Overall
401,0.278,0.068,0.182,0.094,0.082,0.234,0.184,0.224,0.046,0.092,0.014,0.058,0.028,0.074,0.048,0.11373333333333334
402,0.102,0.104,0.132,0.092,0.102,0.122,0.118,0.126,0.14,0.12,0.108,0.076,0.13,0.104,0.104,0.11200000000000002
403,0.042,0.042,0.042,0.042,0.04,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.04186666666666667
404,0.172,0.158,0.18,0.172,0.192,0.2,0.17,0.194,0.192,0.2,0.186,0.186,0.198,0.198,0.192,0.18599999999999997
405,0.068,0.04,0.068,0.02,0.036,0.064,0.042,0.062,0.066,0.058,0.07,0.06,0.054,0.02,0.06,0.05253333333333335
406,0.026,0.012,0.014,0.026,0.024,0.026,0.022,0.026,0.026,0.026,0.026,0.026,0.018,0.026,0.026,0.023333333333333338
407,0.13,0.062,0.1,0.078,0.064,0.096,0.074,0.132,0.128,0.112,0.084,0.09,0.106,0.112,0.108,0.09840000000000003
408,0.15,0.122,0.142,0.102,0.154,0.138,0.14,0.154,0.156,0.142,0.148,0.114,0.148,0.12,0.16,0.13933333333333334
409,0.044,0.036,0.042,0.026,0.042,0.036,0.036,0.044,0.044,0.042,0.036,0.034,0.042,0.036,0.038,0.038533333333333336
410,0.122,0.09,0.124,0.126,0.122,0.128,0.126,0.13,0.13,0.13,0.13,0.128,0.124,0.124,0.13,0.12426666666666666
411,0.034,0.032,0.028,0.026,0.028,0.03,0.026,0.042,0.042,0.04,0.026,0.036,0.038,0.034,0.042,0.0336
412,0.162,0.004,0.148,0.154,0.1,0.15,0.132,0.066,0.092,0.184,0.172,0.166,0.118,0.176,0.15,0.13159999999999997
413,0.112,0.078,0.108,0.056,0.066,0.11,0.102,0.118,0.092,0.08,0.094,0.082,0.104,0.052,0.092,0.08973333333333336
414,0.068,0.058,0.068,0.07,0.058,0.068,0.068,0.072,0.072,0.068,0.068,0.064,0.07,0.072,0.07,0.06760000000000001
415,0.158,0.164,0.246,0.128,0.158,0.162,0.128,0.25,0.248,0.256,0.214,0.246,0.166,0.248,0.252,0.2016
416,0.084,0.038,0.07,0.066,0.074,0.072,0.072,0.084,0.084,0.076,0.07,0.082,0.074,0.074,0.082,0.07346666666666667
417,0.116,0.006,0.08,0.04,0.114,0.104,0.098,0.082,0.102,0.014,0.11,0.106,0.108,0.114,0.07,0.08426666666666668
